#TAG,NAME IN REPO (or git url),PURPOSE
,i3-gaps,"is the main graphical user interface and window manager."
,i3blocks,"is the status bar."
,i3lock,"is the screen lock."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xcompmgr,"is for transparency and removing screen-tearing."
,xclip,"allows for copying and pasting from the command line."
,xcape,"gives the special escape/super mappings."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xbacklight,"enables changing screen brightness levels."
,xwallpaper,"sets the wallpaper."
,vifm,"is an extensive terminal file manager that everyone likes."
,docx2txt,"enables .docx file previews in vifm."
,odt2txt,"enables .odt file previews in vifm."
,tree,"lists directory contents like trees. Used by vifm."
,arandr,"is a UI for screen adjustment."
,xrandr,"the cli for arandr."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,sxiv,"is a minimalist image viewer."
,feh,"wallpaper setter in i3."
,ffmpeg,"can record and splice video and audio on the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,gnome-keyring,"serves as the system keyring."
,python-pip,"pip manager."
,neofetch,"system info on terminal."
,vlc,"vlc media player."
,qbittorrent,"torret downloader."
,skype,"messaging app."
,libreoffice,"office."
,wine,"do we need windows?"
,bleachbit,"manages my apps."
,neovim,"an tidier vim with some useful features"
,vim,"vim"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video/gif player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,networkmanager,"does exactly what it sounds like."
,newsboat,"is a terminal RSS client."
,firefox,"web browser."
,flashplugin,"flash for firefox."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,a52dec,"decoding ATSC A/52 streams."
,faac,"an AAC audio encoder."
,faad2,"an AAC audio decoder."
,flac,"audio codec."
,jasper,"image codec."
,lame,"an MPEG/MP3 Audio encoder."
,libmad,"an MPEG/MP3 audio decoder."
,libdca,"decoding DTS Coherent Acoustics streams."
,libdv,"video codec for DV."
,gst-libav,"a GStreamer Multimedia Framework ffmpeg Plugin."
,libmpeg2,"library for decoding MPEG-1 and MPEG-2 video streams."
,libtheora,"video codec."
,libvorbis,"audio codec."
,libxv,"a X11 video extension library."
,wavpack,"audio compression format with lossless, lossy and hybrid compression modes."
,x264,"a H264/AVC video encoder."
,xvidcore,"a MPEG-4 video codec."
,libdvdcss,"a DVD decryption."
,libdvdread,"reading DVD video disks."
,libdvdnav,"the library for xine-dvdnav plugin."
,dvd+rw-tools,"dvd burning tools."
,dvdauthor,"DVD authoring tools."
,dvgrab,"utilities."
,p7zip,"command-line file archiver with high compression ratio."
,tar,"utility used to store, backup, and transport files."
,rsync,"a file transfer program to keep remote files in sync."
,alsa-utils,"enables sound (amixer scontrols -> amixer sset 'Master' unmute)."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
A,pavucontrol,"enables sound."
A,pulseaudio-bluetooth,"enables sound."
A,pulseaudio-equalizer,"enables sound."
A,pulseaudio-jack,"enables sound."
A,pulseaudio-lirc,"enables sound."
A,pulseaudio-zeroconf,"enables sound."
A,google-chrome,"google chrome browser."
A,pepper-flash,"flash for chrome."
A,neomutt,"gmail."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
A,xurls,"allows a user to select urls in the terminal via the keyboard."
A,unclutter-xfixes-git,"hides an inactive mouse."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"provides system usage information and displays processes."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,task-spooler,"queues commands or files for download."
A,python-ueberzug,"generates image previews in vifm and other terminal programs."
A,brightnessctl,"allows changing brightness of the monitor (sudo chmod u+s /usr/bin/brightnessctl -> gpasswd -a <user> video)."
A,jdk,"java."
A,gpmdp,"google play music -> you can set hotkeys in settings ctrl + alt + / - / 0."
A,ranger,"is an extensive terminal file manager."
A,thunar,"file manager gui."
A,compton,"rofi uses it for transparency also it is used by i3 for nice changing efects of workspaces."
A,rofi,"a window switcher, application launcher and dmenu replacement."
A,scrot,"can take quick screenshots at your request."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme."
A,code,"visual studio code."
A,powerline-fonts-git,"fonts used by me."
A,otf-font-awesome ttf-font-awesome,"icons fonts."
A,otf-fira-code ttf-fira-code,"fira code font ligatures for visual studio code."
A,lxappearance-gtk3,"set fonts and themes."
,konsole,"Command line with font ligatures for pros!"
